library_number,id,title_en,category_label,priority,trigger_kind,automation_pattern,uses_ai,human_in_the_loop,complexity,ru_smb_fit,existing_70_collision_check
71,sales_crm.lead_capture_from_website_and_messengers,Lead capture from website and messengers,Sales & CRM,P0,manual_or_event,receive → validate → enrich → decide → act → persist → notify,False,False,L,high,required_against_authoritative_manifest
72,sales_crm.lead_identity_resolution_and_deduplication,Lead identity resolution and deduplication,Sales & CRM,P0,manual_or_event,receive → validate → enrich → decide → act → persist → notify,False,False,M,high,required_against_authoritative_manifest
73,sales_crm.lead_enrichment_from_public_sources,Lead enrichment from public sources,Sales & CRM,P0,manual_or_event,receive → validate → enrich → decide → act → persist → notify,False,False,M,high,required_against_authoritative_manifest
74,sales_crm.inbound_lead_qualification,Inbound lead qualification,Sales & CRM,P0,manual_or_event,receive → validate → enrich → decide → act → persist → notify,False,False,S,high,required_against_authoritative_manifest
75,sales_crm.lead_scoring_and_prioritization,Lead scoring and prioritization,Sales & CRM,P0,manual_or_event,receive → validate → enrich → decide → act → persist → notify,False,False,M,high,required_against_authoritative_manifest
76,sales_crm.territory_based_lead_routing,Territory-based lead routing,Sales & CRM,P0,manual_or_event,receive → validate → enrich → decide → act → persist → notify,False,False,L,high,required_against_authoritative_manifest
77,sales_crm.product_based_lead_routing,Product-based lead routing,Sales & CRM,P0,manual_or_event,receive → validate → enrich → decide → act → persist → notify,False,False,S,high,required_against_authoritative_manifest
78,sales_crm.round_robin_lead_assignment,Round-robin lead assignment,Sales & CRM,P0,manual_or_event,receive → validate → enrich → decide → act → persist → notify,False,False,M,high,required_against_authoritative_manifest
79,sales_crm.vip_lead_escalation,VIP lead escalation,Sales & CRM,P1,manual_or_event,receive → validate → enrich → decide → act → persist → notify,False,True,M,high,required_against_authoritative_manifest
80,sales_crm.missed_lead_recovery,Missed lead recovery,Sales & CRM,P1,manual_or_event,receive → validate → enrich → decide → act → persist → notify,False,False,S,high,required_against_authoritative_manifest
81,sales_crm.first_response_sla_monitoring,First-response SLA monitoring,Sales & CRM,P1,schedule,receive → validate → enrich → decide → act → persist → notify,False,False,L,high,required_against_authoritative_manifest
82,sales_crm.personalized_first_response,Personalized first response,Sales & CRM,P1,manual_or_event,receive → validate → enrich → decide → act → persist → notify,False,False,M,high,required_against_authoritative_manifest
83,sales_crm.multi_step_outbound_sequence,Multi-step outbound sequence,Sales & CRM,P1,manual_or_event,receive → validate → enrich → decide → act → persist → notify,False,False,S,high,required_against_authoritative_manifest
84,sales_crm.follow_up_after_no_response,Follow-up after no response,Sales & CRM,P1,manual_or_event,receive → validate → enrich → decide → act → persist → notify,False,False,M,high,required_against_authoritative_manifest
85,sales_crm.meeting_booking_from_qualified_lead,Meeting booking from qualified lead,Sales & CRM,P1,manual_or_event,receive → validate → enrich → decide → act → persist → notify,False,False,M,high,required_against_authoritative_manifest
86,sales_crm.meeting_reminder_and_rescheduling,Meeting reminder and rescheduling,Sales & CRM,P1,manual_or_event,receive → validate → enrich → decide → act → persist → notify,False,False,L,high,required_against_authoritative_manifest
87,sales_crm.post_meeting_summary_and_crm_update,Post-meeting summary and CRM update,Sales & CRM,P1,manual_or_event,receive → validate → enrich → decide → act → persist → notify,True,False,M,high,required_against_authoritative_manifest
88,sales_crm.opportunity_stage_progression,Opportunity stage progression,Sales & CRM,P1,manual_or_event,receive → validate → enrich → decide → act → persist → notify,False,False,M,high,required_against_authoritative_manifest
89,sales_crm.stalled_opportunity_detection,Stalled opportunity detection,Sales & CRM,P2,manual_or_event,receive → validate → enrich → decide → act → persist → notify,False,False,S,high,required_against_authoritative_manifest
90,sales_crm.quote_request_preparation,Quote request preparation,Sales & CRM,P2,event,receive → validate → enrich → decide → act → persist → notify,False,False,M,high,required_against_authoritative_manifest
91,sales_crm.commercial_proposal_generation,Commercial proposal generation,Sales & CRM,P2,manual_or_event,receive → validate → enrich → decide → act → persist → notify,False,False,L,high,required_against_authoritative_manifest
92,sales_crm.commercial_proposal_approval,Commercial proposal approval,Sales & CRM,P2,manual_or_event,receive → validate → enrich → decide → act → persist → notify,False,True,S,high,required_against_authoritative_manifest
93,sales_crm.proposal_delivery_and_tracking,Proposal delivery and tracking,Sales & CRM,P2,schedule,receive → validate → enrich → decide → act → persist → notify,False,False,M,high,required_against_authoritative_manifest
94,sales_crm.contract_handoff_after_win,Contract handoff after win,Sales & CRM,P2,manual_or_event,receive → validate → enrich → decide → act → persist → notify,False,False,M,high,required_against_authoritative_manifest
95,finance_procurement.incoming_invoice_intake,Incoming invoice intake,Finance & Procurement,P0,event,receive → extract → validate → approve → post → reconcile → audit,False,False,L,high,required_against_authoritative_manifest
96,finance_procurement.invoice_ocr_and_field_extraction,Invoice OCR and field extraction,Finance & Procurement,P0,manual_or_event,receive → extract → validate → approve → post → reconcile → audit,True,False,M,high,required_against_authoritative_manifest
97,finance_procurement.invoice_duplicate_detection,Invoice duplicate detection,Finance & Procurement,P0,manual_or_event,receive → extract → validate → approve → post → reconcile → audit,False,False,M,high,required_against_authoritative_manifest
98,finance_procurement.supplier_master_validation,Supplier master validation,Finance & Procurement,P0,manual_or_event,receive → extract → validate → approve → post → reconcile → audit,False,False,S,high,required_against_authoritative_manifest
99,finance_procurement.three_way_invoice_matching,Three-way invoice matching,Finance & Procurement,P0,manual_or_event,receive → extract → validate → approve → post → reconcile → audit,False,False,M,high,required_against_authoritative_manifest
100,finance_procurement.invoice_approval_routing,Invoice approval routing,Finance & Procurement,P0,manual_or_event,receive → extract → validate → approve → post → reconcile → audit,False,True,L,high,required_against_authoritative_manifest
101,finance_procurement.invoice_exception_resolution,Invoice exception resolution,Finance & Procurement,P0,manual_or_event,receive → extract → validate → approve → post → reconcile → audit,False,True,S,high,required_against_authoritative_manifest
102,finance_procurement.approved_invoice_posting,Approved invoice posting,Finance & Procurement,P0,manual_or_event,receive → extract → validate → approve → post → reconcile → audit,False,False,M,high,required_against_authoritative_manifest
103,finance_procurement.payment_calendar_preparation,Payment calendar preparation,Finance & Procurement,P1,manual_or_event,receive → extract → validate → approve → post → reconcile → audit,False,False,M,high,required_against_authoritative_manifest
104,finance_procurement.payment_approval,Payment approval,Finance & Procurement,P1,manual_or_event,receive → extract → validate → approve → post → reconcile → audit,False,True,S,high,required_against_authoritative_manifest
105,finance_procurement.payment_status_reconciliation,Payment status reconciliation,Finance & Procurement,P1,manual_or_event,receive → extract → validate → approve → post → reconcile → audit,False,False,L,high,required_against_authoritative_manifest
106,finance_procurement.overdue_receivables_detection,Overdue receivables detection,Finance & Procurement,P1,manual_or_event,receive → extract → validate → approve → post → reconcile → audit,False,False,M,high,required_against_authoritative_manifest
107,finance_procurement.customer_payment_reminder,Customer payment reminder,Finance & Procurement,P1,manual_or_event,receive → extract → validate → approve → post → reconcile → audit,False,False,S,high,required_against_authoritative_manifest
108,finance_procurement.collections_escalation,Collections escalation,Finance & Procurement,P1,manual_or_event,receive → extract → validate → approve → post → reconcile → audit,False,True,M,high,required_against_authoritative_manifest
109,finance_procurement.bank_statement_reconciliation,Bank statement reconciliation,Finance & Procurement,P1,manual_or_event,receive → extract → validate → approve → post → reconcile → audit,False,False,M,high,required_against_authoritative_manifest
110,finance_procurement.expense_report_intake,Expense report intake,Finance & Procurement,P1,schedule,receive → extract → validate → approve → post → reconcile → audit,False,False,L,high,required_against_authoritative_manifest
111,finance_procurement.expense_policy_validation,Expense policy validation,Finance & Procurement,P1,manual_or_event,receive → extract → validate → approve → post → reconcile → audit,False,False,M,high,required_against_authoritative_manifest
112,finance_procurement.expense_approval_and_reimbursement,Expense approval and reimbursement,Finance & Procurement,P1,manual_or_event,receive → extract → validate → approve → post → reconcile → audit,False,True,M,high,required_against_authoritative_manifest
113,finance_procurement.budget_request_intake,Budget request intake,Finance & Procurement,P2,event,receive → extract → validate → approve → post → reconcile → audit,False,False,S,high,required_against_authoritative_manifest
114,finance_procurement.budget_variance_monitoring,Budget variance monitoring,Finance & Procurement,P2,schedule,receive → extract → validate → approve → post → reconcile → audit,False,False,M,high,required_against_authoritative_manifest
115,finance_procurement.cash_flow_forecast_refresh,Cash-flow forecast refresh,Finance & Procurement,P2,schedule,receive → extract → validate → approve → post → reconcile → audit,False,False,L,high,required_against_authoritative_manifest
116,finance_procurement.purchase_requisition_intake,Purchase requisition intake,Finance & Procurement,P2,event,receive → extract → validate → approve → post → reconcile → audit,False,False,S,high,required_against_authoritative_manifest
117,finance_procurement.purchase_requisition_approval,Purchase requisition approval,Finance & Procurement,P2,manual_or_event,receive → extract → validate → approve → post → reconcile → audit,False,True,M,high,required_against_authoritative_manifest
118,finance_procurement.supplier_discovery,Supplier discovery,Finance & Procurement,P2,manual_or_event,receive → extract → validate → approve → post → reconcile → audit,False,False,M,high,required_against_authoritative_manifest
119,support_cx.omnichannel_ticket_intake,Omnichannel ticket intake,Support & CX,P0,event,receive → classify → prioritize → resolve → escalate → confirm → learn,False,False,L,high,required_against_authoritative_manifest
120,support_cx.customer_identity_and_context_enrichment,Customer identity and context enrichment,Support & CX,P0,manual_or_event,receive → classify → prioritize → resolve → escalate → confirm → learn,False,False,M,high,required_against_authoritative_manifest
121,support_cx.ticket_deduplication,Ticket deduplication,Support & CX,P0,manual_or_event,receive → classify → prioritize → resolve → escalate → confirm → learn,False,False,M,high,required_against_authoritative_manifest
122,support_cx.ticket_classification,Ticket classification,Support & CX,P0,manual_or_event,receive → classify → prioritize → resolve → escalate → confirm → learn,True,False,S,high,required_against_authoritative_manifest
123,support_cx.sentiment_and_urgency_detection,Sentiment and urgency detection,Support & CX,P0,manual_or_event,receive → classify → prioritize → resolve → escalate → confirm → learn,False,False,M,high,required_against_authoritative_manifest
124,support_cx.automatic_knowledge_base_answer,Automatic knowledge-base answer,Support & CX,P0,manual_or_event,receive → classify → prioritize → resolve → escalate → confirm → learn,False,False,L,high,required_against_authoritative_manifest
125,support_cx.rag_answer_confidence_check,RAG answer confidence check,Support & CX,P0,manual_or_event,receive → classify → prioritize → resolve → escalate → confirm → learn,False,False,S,high,required_against_authoritative_manifest
126,support_cx.human_fallback_for_uncertain_answer,Human fallback for uncertain answer,Support & CX,P0,manual_or_event,receive → classify → prioritize → resolve → escalate → confirm → learn,False,False,M,high,required_against_authoritative_manifest
